OpenMP is enabled.
Number of threads = 8
app_name: lane_emden
G = 0.00043
Using algorithm: GSPH
Particle id: 0 | n_neighbor: 20 | dens_i: 3.77892 | updated sml: 0.78221 | v_sig_max: 0.326353
Particle id: 4050 | n_neighbor: 23 | dens_i: 19.7644 | updated sml: 0.450628 | v_sig_max: 0.529677
Particle id: 3450 | n_neighbor: 27 | dens_i: 44.5888 | updated sml: 0.343587 | v_sig_max: 0.671837
Particle id: 2000 | n_neighbor: 27 | dens_i: 46.7084 | updated sml: 0.33831 | v_sig_max: 0.682513
Particle id: 900 | n_neighbor: 28 | dens_i: 16.4265 | updated sml: 0.479289 | v_sig_max: 0.506183
Particle id: 2450 | n_neighbor: 26 | dens_i: 27.5491 | updated sml: 0.403407 | v_sig_max: 0.569304
Particle id: 2950 | n_neighbor: 26 | dens_i: 43.4525 | updated sml: 0.346557 | v_sig_max: 0.671578
Particle id: 400 | n_neighbor: 27 | dens_i: 27.3241 | updated sml: 0.404511 | v_sig_max: 0.586285
Particle id: 1400 | n_neighbor: 27 | dens_i: 35.6811 | updated sml: 0.370084 | v_sig_max: 0.63749
Particle id: 4100 | n_neighbor: 30 | dens_i: 6.40728 | updated sml: 0.655976 | v_sig_max: 0.416435
Particle id: 3500 | n_neighbor: 27 | dens_i: 37.8157 | updated sml: 0.362985 | v_sig_max: 0.64622
Particle id: 950 | n_neighbor: 28 | dens_i: 26.0708 | updated sml: 0.410892 | v_sig_max: 0.592221
Particle id: 450 | n_neighbor: 29 | dens_i: 13.9473 | updated sml: 0.506153 | v_sig_max: 0.496603
Particle id: 3000 | n_neighbor: 24 | dens_i: 27.37 | updated sml: 0.404285 | v_sig_max: 0.589293
Particle id: 1450 | n_neighbor: 25 | dens_i: 19.3422 | updated sml: 0.453883 | v_sig_max: 0.538026
Particle id: 3000 | n_neighbor: 24 | dens_i: 27.37 | updated sml: 0.404285 | v_sig_max: 0.589293
Particle id: 4150 | n_neighbor: 20 | dens_i: 17.9026 | updated sml: 0.465738 | v_sig_max: 0.492823
Particle id: 3550 | n_neighbor: 31 | dens_i: 11.2682 | updated sml: 0.543452 | v_sig_max: 0.471678
Particle id: 2050 | n_neighbor: 21 | dens_i: 11.404 | updated sml: 0.541288 | v_sig_max: 0.434458
Particle id: 2500 | n_neighbor: 26 | dens_i: 27.776 | updated sml: 0.402305 | v_sig_max: 0.596481
Particle id: 1000 | n_neighbor: 27 | dens_i: 35.6811 | updated sml: 0.370084 | v_sig_max: 0.63749
Particle id: 500 | n_neighbor: 30 | dens_i: 6.40728 | updated sml: 0.655976 | v_sig_max: 0.416435
Particle id: 3600 | n_neighbor: 31 | dens_i: 17.6257 | updated sml: 0.468163 | v_sig_max: 0.526095
Particle id: 4200 | n_neighbor: 20 | dens_i: 8.30168 | updated sml: 0.601715 | v_sig_max: 0.383019
Particle id: 2100 | n_neighbor: 20 | dens_i: 22.6229 | updated sml: 0.430787 | v_sig_max: 0.513211
Particle id: 1050 | n_neighbor: 22 | dens_i: 13.4114 | updated sml: 0.512807 | v_sig_max: 0.464764
Particle id: 3050 | n_neighbor: 26 | dens_i: 21.4102 | updated sml: 0.438772 | v_sig_max: 0.538026
Particle id: 3650 | n_neighbor: 28 | dens_i: 38.6248 | updated sml: 0.360432 | v_sig_max: 0.643582
Particle id: 1500 | n_neighbor: 19 | dens_i: 19.4592 | updated sml: 0.452972 | v_sig_max: 0.498683
Particle id: 2550 | n_neighbor: 27 | dens_i: 54.0802 | updated sml: 0.322181 | v_sig_max: 0.708054
Particle id: 3100 | n_neighbor: 27 | dens_i: 15.606 | updated sml: 0.487546 | v_sig_max: 0.511238
Particle id: 1550 | n_neighbor: 26 | dens_i: 33.6864 | updated sml: 0.377249 | v_sig_max: 0.625448
Particle id: 2600 | n_neighbor: 21 | dens_i: 21.0324 | updated sml: 0.441384 | v_sig_max: 0.507519
Particle id: 3150 | n_neighbor: 26 | dens_i: 42.3465 | updated sml: 0.349548 | v_sig_max: 0.666386
Initialization complete. Particle count=4224
write results/00000.dat
Particle id: 0 | n_neighbor: 20 | dens_i: 3.77549 | updated sml: 0.782446 | v_sig_max: 0.307751
Particle id: 3700 | n_neighbor: 27 | dens_i: 39.5696 | updated sml: 0.357541 | v_sig_max: 0.65184
Particle id: 1600 | n_neighbor: 21 | dens_i: 16.0785 | updated sml: 0.482722 | v_sig_max: 0.487614
Particle id: 550 | n_neighbor: 26 | dens_i: 23.7027 | updated sml: 0.424144 | v_sig_max: 0.571267
Particle id: 2150 | n_neighbor: 26 | dens_i: 35.154 | updated sml: 0.371924 | v_sig_max: 0.621363
Particle id: 2650 | n_neighbor: 27 | dens_i: 48.8648 | updated sml: 0.333258 | v_sig_max: 0.700739
Particle id: 50 | n_neighbor: 20 | dens_i: 17.8914 | updated sml: 0.465834 | v_sig_max: 0.498277
Particle id: 1100 | n_neighbor: 27 | dens_i: 29.8809 | updated sml: 0.392628 | v_sig_max: 0.606492
Particle id: 3750 | n_neighbor: 24 | dens_i: 21.9592 | updated sml: 0.435085 | v_sig_max: 0.56238
Particle id: 1650 | n_neighbor: 27 | dens_i: 55.3179 | updated sml: 0.31976 | v_sig_max: 0.740668
Particle id: 600 | n_neighbor: 28 | dens_i: 26.0894 | updated sml: 0.410794 | v_sig_max: 0.588592
Particle id: 2200 | n_neighbor: 27 | dens_i: 50.5441 | updated sml: 0.329526 | v_sig_max: 0.705866
Particle id: 100 | n_neighbor: 20 | dens_i: 17.8914 | updated sml: 0.465834 | v_sig_max: 0.498277
Particle id: 1150 | n_neighbor: 24 | dens_i: 21.9592 | updated sml: 0.435085 | v_sig_max: 0.56238
Particle id: 3200 | n_neighbor: 27 | dens_i: 48.8648 | updated sml: 0.333258 | v_sig_max: 0.700739
Particle id: 3800 | n_neighbor: 26 | dens_i: 16.4567 | updated sml: 0.478995 | v_sig_max: 0.517514
Particle id: 1700 | n_neighbor: 21 | dens_i: 16.0785 | updated sml: 0.482722 | v_sig_max: 0.487614
Particle id: 650 | n_neighbor: 24 | dens_i: 9.75415 | updated sml: 0.570229 | v_sig_max: 0.457283
Particle id: 2250 | n_neighbor: 14 | dens_i: 14.5969 | updated sml: 0.498531 | v_sig_max: 0.417562
Particle id: 150 | n_neighbor: 31 | dens_i: 8.33588 | updated sml: 0.60089 | v_sig_max: 0.432904
Particle id: 1200 | n_neighbor: 26 | dens_i: 8.21382 | updated sml: 0.603853 | v_sig_max: 0.420864
Particle id: 3850 | n_neighbor: 27 | dens_i: 34.0799 | updated sml: 0.375791 | v_sig_max: 0.61594
Particle id: 1750 | n_neighbor: 26 | dens_i: 27.7791 | updated sml: 0.40229 | v_sig_max: 0.583113
Particle id: 2300 | n_neighbor: 27 | dens_i: 55.1008 | updated sml: 0.32018 | v_sig_max: 0.733565
Particle id: 700 | n_neighbor: 31 | dens_i: 17.6111 | updated sml: 0.468293 | v_sig_max: 0.525276
Particle id: 1250 | n_neighbor: 26 | dens_i: 39.0465 | updated sml: 0.35913 | v_sig_max: 0.663643
Particle id: 3900 | n_neighbor: 26 | dens_i: 26.2937 | updated sml: 0.409728 | v_sig_max: 0.583757
Particle id: 1800 | n_neighbor: 18 | dens_i: 11.7478 | updated sml: 0.535954 | v_sig_max: 0.399316
Particle id: 3250 | n_neighbor: 28 | dens_i: 32.0518 | updated sml: 0.383555 | v_sig_max: 0.616396
Particle id: 750 | n_neighbor: 25 | dens_i: 21.867 | updated sml: 0.435695 | v_sig_max: 0.560255
Particle id: 2350 | n_neighbor: 27 | dens_i: 23.076 | updated sml: 0.42795 | v_sig_max: 0.56866
Particle id: 200 | n_neighbor: 26 | dens_i: 21.4022 | updated sml: 0.438827 | v_sig_max: 0.543972
Particle id: 1300 | n_neighbor: 24 | dens_i: 23.6899 | updated sml: 0.42422 | v_sig_max: 0.561736
Particle id: 3950 | n_neighbor: 26 | dens_i: 16.4567 | updated sml: 0.478995 | v_sig_max: 0.517514
Particle id: 2700 | n_neighbor: 27 | dens_i: 34.0799 | updated sml: 0.375791 | v_sig_max: 0.61594
Particle id: 3300 | n_neighbor: 26 | dens_i: 16.8528 | updated sml: 0.475213 | v_sig_max: 0.509616
Particle id: 800 | n_neighbor: 28 | dens_i: 16.4361 | updated sml: 0.479196 | v_sig_max: 0.502115
Particle id: 2400 | n_neighbor: 28 | dens_i: 16.4361 | updated sml: 0.479196 | v_sig_max: 0.502115
Particle id: 4000 | n_neighbor: 24 | dens_i: 23.6899 | updated sml: 0.42422 | v_sig_max: 0.561736
Particle id: 250 | n_neighbor: 27 | dens_i: 2.83 | updated sml: 0.861358 | v_sig_max: 0.337971
Particle id: 1850 | n_neighbor: 26 | dens_i: 40.9068 | updated sml: 0.353601 | v_sig_max: 0.651607
Particle id: 2750 | n_neighbor: 30 | dens_i: 6.4043 | updated sml: 0.656078 | v_sig_max: 0.417286
Particle id: 3350 | n_neighbor: 24 | dens_i: 21.9592 | updated sml: 0.435085 | v_sig_max: 0.56238
Particle id: 850 | n_neighbor: 29 | dens_i: 27.2604 | updated sml: 0.404826 | v_sig_max: 0.60031
Particle id: 2450 | n_neighbor: 26 | dens_i: 27.5604 | updated sml: 0.403352 | v_sig_max: 0.584359
Particle id: 4050 | n_neighbor: 23 | dens_i: 19.7625 | updated sml: 0.450642 | v_sig_max: 0.533134
Particle id: 1350 | n_neighbor: 27 | dens_i: 49.6635 | updated sml: 0.331462 | v_sig_max: 0.696475
Particle id: 2800 | n_neighbor: 25 | dens_i: 42.544 | updated sml: 0.349006 | v_sig_max: 0.658173
Particle id: 3400 | n_neighbor: 26 | dens_i: 25.1844 | updated sml: 0.415657 | v_sig_max: 0.581679
Particle id: 900 | n_neighbor: 28 | dens_i: 16.4361 | updated sml: 0.479196 | v_sig_max: 0.502115
Particle id: 2500 | n_neighbor: 26 | dens_i: 27.7791 | updated sml: 0.40229 | v_sig_max: 0.583113
Particle id: 4100 | n_neighbor: 30 | dens_i: 6.4043 | updated sml: 0.656078 | v_sig_max: 0.417286
Particle id: 300 | n_neighbor: 26 | dens_i: 26.2937 | updated sml: 0.409728 | v_sig_max: 0.583757
Particle id: 1900 | n_neighbor: 27 | dens_i: 46.7169 | updated sml: 0.338289 | v_sig_max: 0.705694
Particle id: 2850 | n_neighbor: 27 | dens_i: 36.2771 | updated sml: 0.368046 | v_sig_max: 0.639298
Particle id: 3450 | n_neighbor: 27 | dens_i: 44.5888 | updated sml: 0.343587 | v_sig_max: 0.675946
Particle id: 950 | n_neighbor: 28 | dens_i: 26.0894 | updated sml: 0.410794 | v_sig_max: 0.588592
Particle id: 1400 | n_neighbor: 27 | dens_i: 35.6795 | updated sml: 0.370089 | v_sig_max: 0.639691
Particle id: 2550 | n_neighbor: 27 | dens_i: 54.0372 | updated sml: 0.322266 | v_sig_max: 0.728785
Particle id: 2900 | n_neighbor: 25 | dens_i: 42.544 | updated sml: 0.349006 | v_sig_max: 0.658173
Particle id: 3500 | n_neighbor: 27 | dens_i: 37.837 | updated sml: 0.362917 | v_sig_max: 0.651102
Particle id: 1000 | n_neighbor: 27 | dens_i: 35.6795 | updated sml: 0.370089 | v_sig_max: 0.639691
Particle id: 2600 | n_neighbor: 21 | dens_i: 21.0205 | updated sml: 0.441467 | v_sig_max: 0.516544
Particle id: 4150 | n_neighbor: 20 | dens_i: 17.8914 | updated sml: 0.465834 | v_sig_max: 0.498277
Particle id: 1950 | n_neighbor: 26 | dens_i: 35.154 | updated sml: 0.371924 | v_sig_max: 0.621363
Particle id: 2950 | n_neighbor: 26 | dens_i: 43.4496 | updated sml: 0.346564 | v_sig_max: 0.67713
Particle id: 4200 | n_neighbor: 20 | dens_i: 8.28137 | updated sml: 0.602206 | v_sig_max: 0.370813
Particle id: 350 | n_neighbor: 19 | dens_i: 3.61019 | updated sml: 0.794211 | v_sig_max: 0.312035
Particle id: 1450 | n_neighbor: 25 | dens_i: 19.336 | updated sml: 0.453931 | v_sig_max: 0.536704
Particle id: 1050 | n_neighbor: 22 | dens_i: 13.4133 | updated sml: 0.512783 | v_sig_max: 0.463226
Particle id: 3550 | n_neighbor: 31 | dens_i: 11.2655 | updated sml: 0.543494 | v_sig_max: 0.461947
Particle id: 2000 | n_neighbor: 27 | dens_i: 46.7169 | updated sml: 0.338289 | v_sig_max: 0.705694
Particle id: 3000 | n_neighbor: 24 | dens_i: 27.3906 | updated sml: 0.404184 | v_sig_max: 0.592214
Particle id: 400 | n_neighbor: 27 | dens_i: 27.3558 | updated sml: 0.404355 | v_sig_max: 0.5905
Particle id: 1500 | n_neighbor: 19 | dens_i: 19.4424 | updated sml: 0.453102 | v_sig_max: 0.509511
Particle id: 2050 | n_neighbor: 21 | dens_i: 11.4137 | updated sml: 0.541132 | v_sig_max: 0.450267
Particle id: 3600 | n_neighbor: 31 | dens_i: 17.6111 | updated sml: 0.468293 | v_sig_max: 0.525276
Particle id: 3050 | n_neighbor: 26 | dens_i: 21.4022 | updated sml: 0.438827 | v_sig_max: 0.543972
Particle id: 450 | n_neighbor: 29 | dens_i: 13.9491 | updated sml: 0.506132 | v_sig_max: 0.491509
Particle id: 1550 | n_neighbor: 26 | dens_i: 33.6659 | updated sml: 0.377325 | v_sig_max: 0.631934
Particle id: 2100 | n_neighbor: 20 | dens_i: 22.6124 | updated sml: 0.430854 | v_sig_max: 0.528867
Particle id: 3650 | n_neighbor: 28 | dens_i: 38.6278 | updated sml: 0.360423 | v_sig_max: 0.645699
Particle id: 3100 | n_neighbor: 27 | dens_i: 15.6006 | updated sml: 0.487602 | v_sig_max: 0.50488
Particle id: 500 | n_neighbor: 30 | dens_i: 6.4043 | updated sml: 0.656078 | v_sig_max: 0.417286
Particle id: 3150 | n_neighbor: 26 | dens_i: 42.3333 | updated sml: 0.349584 | v_sig_max: 0.659568
loop: 1, time: 0.13374, dt: 0.13374, num: 4224
Particle id: 0 | n_neighbor: 20 | dens_i: 3.76529 | updated sml: 0.783153 | v_sig_max: 0.290294
Particle id: 3700 | n_neighbor: 27 | dens_i: 39.6253 | updated sml: 0.357373 | v_sig_max: 0.655534
Particle id: 1600 | n_neighbor: 21 | dens_i: 16.0497 | updated sml: 0.483011 | v_sig_max: 0.49769
Particle id: 550 | n_neighbor: 26 | dens_i: 23.7395 | updated sml: 0.423925 | v_sig_max: 0.571278
Particle id: 2150 | n_neighbor: 26 | dens_i: 35.2119 | updated sml: 0.37172 | v_sig_max: 0.62513
Particle id: 50 | n_neighbor: 20 | dens_i: 17.8605 | updated sml: 0.466103 | v_sig_max: 0.509166
Particle id: 1100 | n_neighbor: 27 | dens_i: 29.8827 | updated sml: 0.39262 | v_sig_max: 0.604022
Particle id: 3750 | n_neighbor: 24 | dens_i: 21.9447 | updated sml: 0.43518 | v_sig_max: 0.565158
Particle id: 1650 | n_neighbor: 27 | dens_i: 55.2251 | updated sml: 0.319939 | v_sig_max: 0.74505
Particle id: 600 | n_neighbor: 28 | dens_i: 26.1335 | updated sml: 0.410563 | v_sig_max: 0.587257
Particle id: 2650 | n_neighbor: 27 | dens_i: 48.9557 | updated sml: 0.333052 | v_sig_max: 0.701411
Particle id: 2200 | n_neighbor: 27 | dens_i: 50.5808 | updated sml: 0.329446 | v_sig_max: 0.704251
Particle id: 100 | n_neighbor: 20 | dens_i: 17.8605 | updated sml: 0.466103 | v_sig_max: 0.509166
Particle id: 2200 | n_neighbor: 27 | dens_i: 50.5808 | updated sml: 0.329446 | v_sig_max: 0.704251
Particle id: 3200 | n_neighbor: 27 | dens_i: 48.9557 | updated sml: 0.333052 | v_sig_max: 0.701411
Particle id: 1150 | n_neighbor: 24 | dens_i: 21.9447 | updated sml: 0.43518 | v_sig_max: 0.565158
Particle id: 3800 | n_neighbor: 26 | dens_i: 16.4707 | updated sml: 0.47886 | v_sig_max: 0.519004
Particle id: 1700 | n_neighbor: 21 | dens_i: 16.0497 | updated sml: 0.483011 | v_sig_max: 0.49769
Particle id: 650 | n_neighbor: 24 | dens_i: 9.75252 | updated sml: 0.570261 | v_sig_max: 0.46813
Particle id: 3250 | n_neighbor: 28 | dens_i: 32.0087 | updated sml: 0.383728 | v_sig_max: 0.615947
Particle id: 1200 | n_neighbor: 26 | dens_i: 8.19514 | updated sml: 0.604311 | v_sig_max: 0.414852
Particle id: 3850 | n_neighbor: 27 | dens_i: 34.0654 | updated sml: 0.375844 | v_sig_max: 0.616628
Particle id: 1750 | n_neighbor: 26 | dens_i: 27.7894 | updated sml: 0.402241 | v_sig_max: 0.58087
Particle id: 700 | n_neighbor: 31 | dens_i: 17.5725 | updated sml: 0.468635 | v_sig_max: 0.523529
Particle id: 3300 | n_neighbor: 26 | dens_i: 16.8607 | updated sml: 0.475139 | v_sig_max: 0.509461
Particle id: 1250 | n_neighbor: 26 | dens_i: 39.0673 | updated sml: 0.359066 | v_sig_max: 0.66916
Particle id: 150 | n_neighbor: 31 | dens_i: 8.33019 | updated sml: 0.601027 | v_sig_max: 0.427875
Particle id: 3900 | n_neighbor: 26 | dens_i: 26.3225 | updated sml: 0.409578 | v_sig_max: 0.590812
Particle id: 750 | n_neighbor: 25 | dens_i: 21.8596 | updated sml: 0.435744 | v_sig_max: 0.5623
Particle id: 3350 | n_neighbor: 24 | dens_i: 21.9447 | updated sml: 0.43518 | v_sig_max: 0.565158
Particle id: 1300 | n_neighbor: 24 | dens_i: 23.6847 | updated sml: 0.424252 | v_sig_max: 0.568283
Particle id: 2700 | n_neighbor: 27 | dens_i: 34.0654 | updated sml: 0.375844 | v_sig_max: 0.616628
Particle id: 200 | n_neighbor: 26 | dens_i: 21.3847 | updated sml: 0.438946 | v_sig_max: 0.547627
Particle id: 3950 | n_neighbor: 26 | dens_i: 16.4707 | updated sml: 0.47886 | v_sig_max: 0.519004
Particle id: 2250 | n_neighbor: 14 | dens_i: 14.5317 | updated sml: 0.499276 | v_sig_max: 0.419351
Particle id: 800 | n_neighbor: 28 | dens_i: 16.4627 | updated sml: 0.478937 | v_sig_max: 0.500426
Particle id: 1350 | n_neighbor: 27 | dens_i: 49.8567 | updated sml: 0.331034 | v_sig_max: 0.699259
Particle id: 2750 | n_neighbor: 30 | dens_i: 6.39614 | updated sml: 0.656357 | v_sig_max: 0.417615
Particle id: 1800 | n_neighbor: 18 | dens_i: 11.6814 | updated sml: 0.536967 | v_sig_max: 0.397627
Particle id: 250 | n_neighbor: 27 | dens_i: 2.83427 | updated sml: 0.860926 | v_sig_max: 0.343093
Particle id: 3400 | n_neighbor: 26 | dens_i: 25.222 | updated sml: 0.41545 | v_sig_max: 0.580411
Particle id: 1400 | n_neighbor: 27 | dens_i: 35.6728 | updated sml: 0.370112 | v_sig_max: 0.642658
Particle id: 300 | n_neighbor: 26 | dens_i: 26.3225 | updated sml: 0.409578 | v_sig_max: 0.590812
Particle id: 3450 | n_neighbor: 27 | dens_i: 44.6084 | updated sml: 0.343537 | v_sig_max: 0.678858
Particle id: 1850 | n_neighbor: 26 | dens_i: 40.9352 | updated sml: 0.35352 | v_sig_max: 0.652927
Particle id: 2300 | n_neighbor: 27 | dens_i: 55.3684 | updated sml: 0.319664 | v_sig_max: 0.735651
Particle id: 4000 | n_neighbor: 24 | dens_i: 23.6847 | updated sml: 0.424252 | v_sig_max: 0.568283
Particle id: 850 | n_neighbor: 29 | dens_i: 27.2592 | updated sml: 0.404832 | v_sig_max: 0.598325
Particle id: 2800 | n_neighbor: 25 | dens_i: 42.5385 | updated sml: 0.349021 | v_sig_max: 0.662242
Particle id: 350 | n_neighbor: 19 | dens_i: 3.57791 | updated sml: 0.796592 | v_sig_max: 0.320643
Particle id: 3500 | n_neighbor: 27 | dens_i: 37.8841 | updated sml: 0.362766 | v_sig_max: 0.656821
Particle id: 1450 | n_neighbor: 25 | dens_i: 19.3203 | updated sml: 0.454055 | v_sig_max: 0.53462
Particle id: 4050 | n_neighbor: 23 | dens_i: 19.7599 | updated sml: 0.450662 | v_sig_max: 0.535725
Particle id: 1900 | n_neighbor: 27 | dens_i: 46.7458 | updated sml: 0.338219 | v_sig_max: 0.711689
Particle id: 900 | n_neighbor: 28 | dens_i: 16.4627 | updated sml: 0.478937 | v_sig_max: 0.500426
Particle id: 3550 | n_neighbor: 31 | dens_i: 11.2587 | updated sml: 0.543605 | v_sig_max: 0.456397
Particle id: 2350 | n_neighbor: 27 | dens_i: 23.1008 | updated sml: 0.427796 | v_sig_max: 0.573976
Particle id: 1500 | n_neighbor: 19 | dens_i: 19.3966 | updated sml: 0.453458 | v_sig_max: 0.523744
Particle id: 1950 | n_neighbor: 26 | dens_i: 35.2119 | updated sml: 0.37172 | v_sig_max: 0.62513
Particle id: 950 | n_neighbor: 28 | dens_i: 26.1335 | updated sml: 0.410563 | v_sig_max: 0.587257
Particle id: 400 | n_neighbor: 27 | dens_i: 27.4349 | updated sml: 0.403966 | v_sig_max: 0.600314
Particle id: 2000 | n_neighbor: 27 | dens_i: 46.7458 | updated sml: 0.338219 | v_sig_max: 0.711689
Particle id: 3600 | n_neighbor: 31 | dens_i: 17.5725 | updated sml: 0.468635 | v_sig_max: 0.523529
Particle id: 4100 | n_neighbor: 30 | dens_i: 6.39614 | updated sml: 0.656357 | v_sig_max: 0.417615
Particle id: 2850 | n_neighbor: 27 | dens_i: 36.2774 | updated sml: 0.368045 | v_sig_max: 0.644063
Particle id: 1000 | n_neighbor: 27 | dens_i: 35.6728 | updated sml: 0.370112 | v_sig_max: 0.642658
Particle id: 2050 | n_neighbor: 22 | dens_i: 11.4405 | updated sml: 0.540711 | v_sig_max: 0.481225
Particle id: 450 | n_neighbor: 29 | dens_i: 13.954 | updated sml: 0.506073 | v_sig_max: 0.488255
